Date,Open,High,Low,Close,Volume
1982-10-01,120.4,121.97,120.15,121.97,36111111
1982-10-04,121.97,121.97,120.56,121.51,30916667
1982-10-05,121.6,122.73,121.6,121.98,38761111
1982-10-06,122,125.97,122,125.97,51983333
1982-10-07,125.99,128.96,125.99,128.8,81705556
1982-10-08,128.79,131.11,128.79,131.05,67916667
1982-10-11,131.06,135.53,131.06,134.47,76961111
1982-10-12,134.48,135.85,133.59,134.44,70172222
1982-10-13,134.42,137.97,134.14,136.71,77666667
1982-10-14,136.71,136.89,134.55,134.57,59738889
1982-10-15,134.55,134.61,133.28,133.57,44605556
1982-10-18,133.59,136.73,133.59,136.73,46550000
1982-10-19,136.73,137.96,135.72,136.58,56027778
1982-10-20,136.58,139.23,136.37,139.23,54822222
1982-10-21,139.23,140.27,137.63,139.06,68033333
1982-10-22,139.06,140.4,138.75,138.83,56177778
1982-10-25,138.81,138.81,133.32,133.32,46511111
1982-10-26,133.29,134.48,131.5,134.48,56711111
1982-10-27,134.48,135.92,134.48,135.29,45372222
1982-10-28,135.28,135.42,133.59,133.59,40883333
1982-10-29,133.54,134.02,132.64,133.72,41572222
